Title,Author,weeks on bestseller list
WAR HAWK,James Rollins and Grant Blackwood,1
THE SLOW REGARD OF SILENT THINGS,Patrick Rothfuss,1
ROCK CHICK REVOLUTION,Kristen Ashley,1
LIVE TO SEE TOMORROW,Iris Johansen,1
SHIFTING SHADOWS,Patricia Briggs,1
MODERN LOVERS,Emma Straub,1
SUMMER FIRE,Gennita Low,1
FIRST FROST,Sarah Addison Allen,1
THE LIMPOPO ACADEMY OF PRIVATE DETECTION,Alexander McCall Smith,1
PUCKED,Helena Hunting,1
THE KEEPER,John Lescroart,1
THE SEXY ONE,Lauren Blakely,1
TAKE A CHANCE,Abbi Glines,1
REMAINS OF INNOCENCE,J A Jance,1
THE SHADOWS,J R Ward,1
LOSING HOPE,Colleen Hoover,1
MIRACLE AT AUGUSTA,James Patterson and Peter De Jonge,1
HAUNTED DESTINY,Heather Graham,1
HAZARDOUS DUTY,W E B Griffin and William E Butterworth IV,1
WHERE I BELONG,J Daniels,1
HOTSHOT,Julie Garwood,1
THE BEAST,Faye Kellerman,1
FINAL HOUR,Dean Koontz,1
A PRAYER FOR OWEN MEANY,John Irving,1
NEW LEAF,Catherine Anderson,1
A PERFECT BLOOD,Kim Harrison,1
EVENING STARS,Susan Mallery,1
A FOOL'S GOLD CHRISTMAS,Susan Mallery,1
LEFT TO DIE,Lisa Jackson,1
THE RETURN OF RAFE MACKADE,Nora Roberts,1
VAIN - PART THREE,Deborah Bladon,1
ROBERT B. PARKER'S CHEAP SHOT,Ace Atkins,1
ONLY ENCHANTING,Mary Balogh,1
THE RESOLUTION OF CALLIE AND KAYDEN,Jessica Sorensen,1
DECEPTION COVE,Jayne Castle,1
PORCH LIGHTS,Dorothea Benton Frank,1
SHADOW BORN,Jasmine Walt and Rebecca Hamilton,1
THE EVER AFTER OF ELLA AND MICHA,Jessica Sorensen,1
THE DESTINY OF VIOLET & LUKE (CALLIE & KAYDEN),Jessica Sorensen,1
SIREN'S CALL,Jayne Castle,1
ZACK,Sawyer Bennett,1
DIRTY ROWDY THING,Christina Lauren,1
12-ALARM COWBOYS,Cora Seton and others,1
TOTAL SURRENDER,Rebecca Zanetti,1
THE SENTRY,Robert Crais,1
LEAD,Kylie Scott,1
NEVER TOO FAR,Abbi Glines,1
WIRED,Douglas E Richards,1
THE HOUSE ON OLIVE STREET,Ron Carr,1
MAGIC SHIFTS,Ilona Andrews,1
MACRIEVE,Kresley Cole,1
BEAUTIFUL REDEMPTION,Jamie McGuire,1
ROBERT B. PARKER'S SLOW BURN,Ace Atkins,1
BEST OF MY LOVE,Susan Mallery,1
PROTECTING MELODY,Susan Stoker,1
THE FOREVER OF ELLA AND MICHA,Jessica Sorensen,1
THE GOLEM AND THE JINNI,Helene Wecker,1
HOLD ON,Kristen Ashley,1
ENVY,JR Ward,1
NOVEMBER 9,Colleen Hoover,1
THE CHAPERONE,Laura Moriarty,1
THE SOLOMON CURSE,Clive Cussler and Russell Blake,1
HUNTING EVE,Iris Johansen,1
IT MUST BE YOUR LOVE,Bella Andre,1
FAST TRACK,Julie Garwood,1
THE ANGELS' SHARE,J R Ward,1
MEANT FOR LOVE,Marie Force,1
THE COMPLETE GILLIAN FLYNN,Gillian Flynn,1
FATAL SCANDAL,Marie Force,1
SILENCING EVE,Iris Johansen,1
KISS AND TELL,Fern Michaels,1
THE MARRIAGE MISTAKE,Jennifer Probst,1
BIG SKY SECRETS,Linda Lael Miller,1
HOME TO SEAVIEW KEY,Sherryl Woods,1
FOURTH DEBT,Pepper Winters,1
STATE OF FEAR,Michael Crichton,1
ALL SHE EVER WANTED,Barbara Freethy,1
ROBERT B. PARKER’S KILLING THE BLUES,Michael Brandman,1
INTO THE FIRESTORM,Kat Martin,1
LADIES' NIGHT,Mary Kay Andrews,1
IT'S ONLY LOVE,Marie Force,1
THE TEHRAN INITIATIVE,Joel C Rosenberg,1
MINE,Katy Evans,1
BROKEN HARBOR,Tana French,1
DEADLY DOZEN,Diane Capri_ J Carson Black and others,1
PREY,Michael Crichton,1
THE HIGHWAYMAN,Craig Johnson,1
ROBERT B. PARKER'S BLIND SPOT,Reed Farrel Coleman,1
ABOUT A VAMPIRE,Lynsay Sands,1
THE GREAT ESCAPE,Susan Elizabeth Phillips,1
MANWHORE +1,Katy Evans,1
AFTER THE STORM,Maya Banks,1
A BAXTER FAMILY CHRISTMAS,Karen Kingsbury,1
SIXTH GRAVE ON THE EDGE,Darynda Jones,1
BACK TO BLOOD,Tom Wolfe,1
FATAL ERROR,JA Jance,1
CONVICTION,Aaron Allston,1
SUMMER SECRETS,Jane Green,1
UNLOCKED,Maya Cross,1
GUNMETAL GRAY,Mark Greaney,1
THE ALLOY OF LAW,Brandon Sanderson,1
DASH OF PERIL,Lori Foster,1
THE SHADOW PATROL,Alex Berenson,1
AVENUE OF MYSTERIES,John Irving,1
BEAUTIFUL RUINS,Jess Walter,1
THE SLEEPWALKER,Chris Bohjalian,1
THE SHOEMAKER’S WIFE,Adriana Trigiani,1
CHRISTMAS CARAMEL MURDER,Joanne Fluke,1
PRIVATE INDIA,James Patterson and Ashwin Sanghi,1
THE ARRANGEMENT 15,H M Ward,1
BORN OF DEFIANCE,Sherrilyn Kenyon,1
THE GIRLS OF MISCHIEF BAY,Susan Mallery,1
THE FORGOTTEN,Heather Graham,1
ADULTERY,Paulo Coelho,1
SILENT MERCY,Linda Fairstein,1
TOP SECRET,W E B Griffin and William E Butterworth IV,1
THE SHADOWY HORSES,Susanna Kearsley,1
EVERYTHING FOR US,M Leighton,1
DARK PROMISES,Christine Feehan,1
DADDY'S GIRL,Lisa Scottoline,1
SHADOW WOMAN,Linda Howard,1
GARDEN OF LIES,Amanda Quick,1
KALEIDOSCOPE,Kristen Ashley,1
MIDNIGHT CROSSROAD,Charlaine Harris,1
HARD LIMIT,Meredith Wild,1
LETHAL RIDER,Larissa Ione,1
THE PROMISE,Kristen Ashley,1
FIFTEEN MINUTES,Karen Kingsbury,1
STONE COLD,C J Box,1
ALL I WANT,Jill Shalvis,1
STEALING HARPER,Molly McAdams,1
MURDER 101,Faye Kellerman,1
VALOROUS,M S Force,1
THE WEDDING,Nicholas Sparks,1
DARK LYCAN,Christine Feehan,1
LUCKY PENNY,Catherine Anderson,1
DOUBLE DARE,R L Mathewson,1
ROSE HARBOR IN BLOOM,Debbie Macomber,1
SHADOW,Laurann Dohner,1
THE KING'S DECEPTION,Steve Berry,1
THE PAYING GUESTS,Sarah Waters,1
TRUE LOVE,Jude Deveraux,1
BLOOD VOW,J R Ward,1
SON OF NO ONE,Sherrilyn Kenyon,1
EYES WIDE OPEN,Raine Miller,1
FAIR GAME,Patricia Briggs,1
COME HOME,Lisa Scottoline,1
HEARTS AFLAME,Johanna Lindsey,1
WINTER GARDEN,Kristin Hannah,1
SUMMER ISLAND,Kristin Hannah,1
A BRUSH OF WINGS,Karen Kingsbury,1
TRICKED,Kevin Hearne,1
A HERO OF FRANCE,Alan Furst,1
UNNATURAL ACTS,Stuart Woods,1
THE BONE SEASON,Samantha Shannon,1
DRIVING HEAT,Richard Castle,1
CRASHED,K Bromberg,1
EVER AFTER,Kim Harrison,1
FOLLY BEACH,Dorothea Benton Frank,1
IF I DIDN'T KNOW BETTER,Barbara Freethy,1
LETTING GO,Maya Banks,1
ARCHANGEL’S CONSORT,Nalini Singh,1
DOMINANCE NEVER DIES,Lexi Blake,1
SWING TIME,Zadie Smith,1
THE BANDS OF MOURNING,Brandon Sanderson,1
KISS THE DEAD,Laurell K Hamilton,1
WARHEART,Terry Goodkind,1
ONCE A RANCHER,Linda Lael Miller,1
GIVE IN TO ME,KM Scott,1
ROBERT B. PARKER’S LULLABY,Ace Atkins,1
ARCHANGEL'S HEART,Nalini Singh,1
SOLITUDE CREEK,Jeffery Deaver,1
NASH,Jay Crownover,1
DRY BONES,Craig Johnson,1
THE BEAST,J R Ward,1
REVENGE,Lisa Jackson,1
A DANGEROUS PLACE,Jacqueline Winspear,1
UNLOCKED,Courtney Milan,1
DIRTY,Kylie Scott,1
LITTLE BLACK DRESS,James Patterson and Emily Raymond,1
BEAUTIFUL BOMBSHELL,Christina Lauren,1
A DELICATE TRUTH,John le Carre,1
HAVEN,Kay Hooper,1
BRING UP THE BODIES,Hilary Mantel,1
THE CITY,Dean Koontz,1
PARIS,Edward Rutherfurd,1
MOONSHOT,Alessandra Torre,1
NEVERWINTER,R A Salvatore,1
THE BAT,Jo Nesbo,1
FOREVER WITH ME,Kristen Pro,1
THE GOLEM OF HOLLYWOOD,Jonathan Kellerman and Jesse Kellerman,1
MANAGED,Kristen Callihan,1
LEOPARD'S FURY,Christine Feehan,1
FINDING JAKE,Bryan Reardon,1
THE LOST KEY,Catherine Coulter and J T Ellison,1
16 LIGHTHOUSE ROAD,Debbie Macomber,1
THE HOUSE GIRL,Tara Conklin,1
DOMINATED,Maya Banks,1
ONCE BURNED,Jeaniene Frost,1
STYXX,Sherrilyn Kenyon,1
SURVIVORS,James Wesley_ Rawles,1
THE AERONAUT'S WINDLASS,Jim Butcher,1
ILLUSION TOWN,Jayne Castle,1
THE TEMPTATION OF LILA AND ETHAN,Jessica Sorensen,1
MONSTERS IN THE DARK,Pepper Winters,1
ICED,Karen Marie Moning,1
MOVING TARGET,J A Jance,1
ALL SUMMER LONG,Susan Mallery,1
THE SECRET HISTORY OF TWIN PEAKS,Mark Frost,1
FALL FROM GRACE,Richard North Patterson,1
THE ARRANGEMENT 14,H M Ward,1
THE TAMING OF THE QUEEN,Philippa Gregory,1
THE ARRANGEMENT 7,HM Ward,1
PLUM ISLAND,Nelson DeMille,1
THE MAGICIAN'S LAND,Lev Grossman,1
DEEP STORM,Lincoln Child,1
THE MURDER OF MARY RUSSELL,Laurie R King,1
PROS AND CONS,Janet Evanovich and Lee Goldberg,1
ARCHER'S VOICE,Mia Sheridan,1
THE SECRET PLACE,Tana French,1
FEAR THE DARK,Kay Hooper,1
SWEET LITTLE LIES,Jill Shalvis,1
HALFWAY THERE,Susan Mallery,1
ARMADA,Ernest Cline,1
WELCOME TO NIGHT VALE,Joseph Fink and Jeffrey Cranor,1
PLAYING THE ODDS,Nora Roberts,1
DON'T GO,Lisa Scottoline,1
SUMMER DAYS,Susan Mallery,1
MR. PRESIDENT,Katy Evans,1
FATAL FRENZY,Marie Force,1
THE ARRANGEMENT 10,HM Ward,1
LIFE DEBT: AFTERMATH,Chuck Wendig,1
JEWELS OF THE SUN,Nora Roberts,1
BLEEDING EDGE,Thomas Pynchon,1
BEACH TOWN,Mary Kay Andrews,1
WHITE TIGER,Jennifer Ashley,1
SHADOW OF VICTORY,David Weber,1
THE MISTAKE,Elle Kennedy,1
VAMPIRE MINE,Kerrelyn Sparks,1
THE DARKEST SURRENDER,Gena Showalter,1
ANY OTHER NAME,Craig Johnson,1
MR. MIRACLE,Debbie Macomber,1
TWELVE DAYS OF CHRISTMAS,Debbie Macomber,1
DESIRE AFTER DARK,Marie Force,1
THE SURGEON,Tess Gerritsen,1
BEACH LANE,Sherryl Woods,1
TRACE OF FEVER,Lori Foster,1
FIRE BOUND,Christine Feehan,1
THE ARRANGEMENT 9: THE FERRO FAMILY,H M Ward,1
LOST AND FOUND IN CEDAR COVE,Debbie Macomber,1
THE LIFE SHE WANTS,Ron Carr,1
THE FALL,John Lescroart,1
COVERT WARRIORS,WEB Griffin and William E Butterworth IV,1
TAMING THE ALPHA,Mandy M Roth_ Michelle M Pillow and others,1
DARK HEIR,Faith Hunter,1
ESCAPE,Barbara Delinsky,1
FOR ALL TIME,Jude Deveraux,1
MIRROR_ MIRROR,JD Robb and others,1
VERONICA MARS: THE THOUSAND-DOLLAR TAN LINE,Rob Thomas and Jennifer Graham,1
CORRUPTED,Lisa Scottoline,1
RANDOM ACTS,J A Jance,1
CARTER REED,Tijan,1
THE WOLVES,Alex Berenson,1
DANCE OF THE BONES,J A Jance,1
FOREVER WITH YOU,Laurelin Paige,1
POWER GAME,Christine Feehan,1
RULE BREAKER,Lora Leigh,1
ALWAYS ON MY MIND,Jill Shalvis,1
TRAPPED,Kevin Hearne,1
PICTURE PERFECT,Jodi Picoult,1
DEVIL'S BRIDGE,Linda Fairstein,1
SOFT TARGET,Stephen Hunter,1
NO LIMITS,Lori Foster,1
THE SUBSTITUTE,Denise Grover Swank,1
TWO OF A KIND,Susan Mallery,1
ROYALLY SCREWED,Emma Chase,1
TRUST NO ONE,Jayne Ann Krentz,1
LIKE A MIGHTY ARMY,David Weber,1
BLACKBERRY WINTER,Sarah Jio,1
MANWHORE,Katy Evans,1
ADMISSION,Jean Hanff Korelitz,1
THE HUSBAND LIST,Janet Evanovich and Dorien Kelly,1
HUDSON,Laurelin Paige,1
DARKEST JOURNEY,Heather Graham,1
COWBOY 12 PACK,Elle James,1
BLOODFIRE QUEST,Terry Brooks,1
BURNED,Karen Marie Moning,1
THE MASTER,Kresley Cole,1
DEEP BLUE,Randy Wayne White,1
DOWN THE DARKEST ROAD,Tami Hoag,1
ARCHANGEL'S SHADOWS,Nalini Singh,1
THE UGLY DUCHESS,Eloisa James,1
IRISH THOROUGHBRED,Nora Roberts,1
FRANKENSTEIN: THE DEAD TOWN,Dean Koontz,1
AS CHIMNEY SWEEPERS COME TO DUST,Alan Bradley,1
THE ACCIDENTAL EMPRESS,Allison Pataki,1
EVER AFTER,Jude Deveraux,1
BAD WOLF,Jennifer Ashley,1
ANGELS AT THE TABLE,Debbie Macomber,1
MARRIAGE GAMES,C D Reiss,1
SEVEN MINUTES IN HEAVEN,Eloisa James,1
SWEET ACHE,K Bromberg,1
JUST ONE KISS,Susan Mallery,1
BONEMAN'S DAUGHTERS,Ted Dekker,1
NOW THAT I'VE FOUND YOU,Bella Andre,1
SOMEONE TO HOLD,Mary Balogh,1
THE SON,Jo Nesbo,1
THE HIDDEN,Heather Graham,1
GETTING ROWDY,Lori Foster,1
BY ITS COVER,Donna Leon,1
ARCHANGEL'S ENIGMA,Nalini Singh,1
BOUND BY FLAMES,Jeaniene Frost,1
THE NAKED EYE,Iris Johansen and Roy Johansen,1
THOUGHTFUL,S C Stephens,1
DARK WOLF,Christine Feehan,1
WHAT SHE KNEW,Gilly Macmillan,1
HOME FREE,Fern Michaels,1
KEEP ME SAFE,Maya Banks,1
MAGIC AND MAYHEM,Jasmine Walt,1
PROMISE OF FOREVER,Jessica Wood,1
BLOOD KISS,J R Ward,1
THE HOUSE WE GREW UP IN,Lisa Jewell,1
THE ARRANGEMENT 11,H M Ward,1
THE THIRD BULLET,Stephen Hunter,1
DARK HUMANITY,Gwynn White and various authors,1
THE GOAL,Elle Kennedy,1
AT THE SIGN OF TRIUMPH,David Weber,1
THE SPELLMAN FILES,Lisa Lutz,1
ONLY A KISS,Mary Balogh,1
THE PACT,Jodi Picoult,1
MY NOT SO PERFECT LIFE,Sophie Kinsella,1
SMOOTH OPERATOR,Stuart Woods and Parnell Hall,1
DASHING THROUGH THE SNOW,Debbie Macomber,1
REAPER'S LEGACY,Joanna Wylde,1
FIDELITY,Aleatha Romig,1
ROBERT B. PARKER'S FOOL ME TWICE,Michael Brandman,1
STAR WARS: BLOODLINE,Claudia Gray,1
THE MATCHMAKER,Elin Hilderbrand,1
HERO,Samantha Young,1
A IS FOR ALIBI,Sue Grafton,1
JUST ONE EVIL ACT,Elizabeth George,1
WIND CHIME POINT,Sherryl Woods,1
THIS MAN CONFESSED,Jodi Ellen Malpas,1
A NIGHT LIKE THIS,Julia Quinn,1
THE SPACE BETWEEN,Diana Gabaldon,1
A SWEET LIFE,Bella Andre_ Barbara Freethy and others,1
THE SCOOP,Fern Michaels,1
THIS IS HOW YOU LOSE HER,Junot Díaz,1
EXCLUSIVE,Sandra Brown,1
THREE SISTERS_ THREE QUEENS,Philippa Gregory,1
ANGEL FALLS,Kristin Hannah,1
VICTORY AND HONOR,W E B Griffin and William E Butterworth IV,1
GOTCHA!,Fern Michaels,1
UNTIL WE TOUCH,Susan Mallery,1
113 MINUTES,James Patterson with Max DiLallo,1
LAST MAN STANDING,Cindy Gerard,1
ABUSE OF POWER,Michael Savage,1
COLD COLD HEART,Tami Hoag,1
SWEET CHEEKS,K Bromberg,1
JASON,Laurell K Hamilton,1
THE BRIDGE,Karen Kingsbury,1
STRIPPED,Jasinda Wilder,1
UNTIL ASHLYN,Aurora Rose Reynolds,1
CRUNCH TIME,Diane Mott Davidson,1
THE TWELVE,Justin Cronin,1
LEAVING EVERYTHING MOST LOVED,Jacqueline Winspear,1
TALL_ DARK AND DEADLY BOOKS 1 - 4,Lisa Renee Jones,1
SAND CASTLE BAY,Sherryl Woods,1
FINAL VOW,Kathleen Brooks,1
TWELVE DAYS,Alex Berenson,1
FORGED IN STEELE,Maya Banks,1
THE DARKEST CRAVING,Gena Showalter,1
LISTEN TO YOUR HEART,Fern Michaels,1
DANCE UPON THE AIR,Nora Roberts,1
BENDER,Stacy Borel,1
WHEN DAY BREAKS,Maya Banks,1
REVEALING US,Lisa Renee Jones,1
THE LIE,Karina Halle,1
THIRTY-FOUR AND A HALF PREDICAMENTS,Denise Grover Swank,1
HOSTAGE,Kay Hooper,1
BREATHE WITH ME,Kristen Pro,1
THE MEPHISTO CLUB,Tess Gerritsen,1
THE MASTERFUL MR. MONTAGUE,Stephanie Laurens,1
TAINT,SL Jennings,1
THE PRAGUE CEMETERY,Umberto Eco,1
THE DARKEST TOUCH,Gena Showalter,1
SCANDALOUS BRIDES,Annette Blair and others,1
THE LOST NIGHT,Jayne Castle,1
DARK PREDATOR,Christine Feehan,1
THE BONE CLOCKS,David Mitchell,1
CHESTNUT STREET,Maeve Binchy,1
FROST BURNED,Patricia Briggs,1
PIECES OF YOU,Cassia Leo,1
BIG SKY MOUNTAIN,Linda Lael Miller,1
WHEN WE MET,Susan Mallery,1
THE ROPE,Nevada Barr,1
DRAGONMARK,Sherrilyn Kenyon,1
STRIPPED,HM Ward,1
HOW FIRM A FOUNDATION,David Weber,1
BORN OF LEGEND,Sherrilyn Kenyon,1
DYING TO READ,Lorena McCourtney,1
REAPER'S FALL,Joanna Wylde,1
ALWAYS ON MY MIND,Bella Andre,1
BECAUSE YOU ARE MINE PART IV,Beth Kerry,1
DARK BLOOD,Christine Feehan,1
ROCK WITH WINGS,Anne Hillerman,1
THE GIRL IN THE GLASS,James Hayman,1
LOVE_ LAUGHTER_ AND HAPPILY EVER AFTERS COLLECTION,Violet Duke,1
SWEET TALK,Julie Garwood,1
ALPHA,Jasinda Wilder,1
THE STORIED LIFE OF A. J. FIKRY,Gabrielle Zevin,1
THE MERCY,Beverly Lewis,1
THE BEACH HOUSE,Jane Green,1
DESTROYER ANGEL,Nevada Barr,1
RIVER ROAD,Jayne Ann Krentz,1
BREAKING POINT,C J Box,1
THE GUARDIAN,Sherrilyn Kenyon,1
AMONG THE WICKED,Linda Castillo,1
RETRIBUTION,Sherrilyn Kenyon,1
DEADLY FATE,Heather Graham,1
A THOUSAND TOMORROWS,Karen Kingsbury,1
KILLER LOOK,Linda Fairstein,1
ROWDY,Jay Crownover,1
RUIN: PART 3,Deborah Bladon,1
CHOCOLATE CHIP COOKIE MURDER,Joanne Fluke,1
SIGHT UNSEEN,Iris Johansen and Roy Johansen,1
FULL PACKAGE,Lauren Blakely,1
NEIGHBOR DEAREST,Penelope Ward,1
DARK GHOST,Christine Feehan,1
FATAL IDENTITY,Marie Force,1
NEVER SEDUCE A SCOT,Maya Banks,1
FRIGID,J Lynn,1
THE PROFESSIONAL_ PART 3,Kresley Cole,1
AMERICA'S FIRST DAUGHTER,Stephanie Dray and Laura Kamoie,1
WINTER STORMS,Elin Hilderbrand,1
RING OF FIRE,Brad Taylor,1
HOLD ME,Susan Mallery,1
POSSESSION,J R Ward,1
WICKED NIGHTS,Gena Showalter,1
SPRING FEVER,Mary Kay Andrews,1
BROOKLYN,Colm Toibin,1
WHERE AZALEAS BLOOM,Sherryl Woods,1
ONE YEAR AFTER,William R Forstchen,1
TOXIC,Rachel Van Dyken,1
THE LADY IS A VAMP,Lynsay Sands,1
BOAR ISLAND,Nevada Barr,1
IMMORTAL EVER AFTER,Lynsay Sands,1
CRYSTAL COVE,Lisa Kleypas,1
SEVENTH HEAVEN,Alice Hoffman,1
SHOTS FIRED,C J Box,1
A SHIVER OF LIGHT,Laurell K Hamilton,1
CHRISTMAS ON 4TH STREET,Susan Mallery,1
STRANGER IN THE MOONLIGHT,Jude Deveraux,1
BEAUTIFUL SECRET,Christina Lauren,1
WYOMING TOUGH,Diana Palmer,1
DEEPER THAN MIDNIGHT,Lara Adrian,1
BREAKING NOVA,Jessica Sorensen,1
THREE LITTLE WORDS,Susan Mallery,1
SAVAGE NATURE,Christine Feehan,1
WICKED CHARMS,Janet Evanovich and Phoef Sutton,1
NIGHT WATCH,Linda Fairstein,1
SEALS OF SUMMER,Delilah Devlin_ Sharon Hamilton and others,1
WILD CAT,Christine Feehan,1
FIRST STAR I SEE TONIGHT,Susan Elizabeth Phillips,1
THE MARRIAGE SEASON,Linda Lael Miller,1
HAWKE,Sawyer Bennett,1
MELT,Helen Hardt,1
RUSH TOO FAR,Abbi Glines,1
VIPER GAME,Christine Feehan,1
BEFORE WE KISS,Susan Mallery,1
OWN THE WIND,Kristen Ashley,1
ONE MORE CHANCE,Abbi Glines,1
THE SECRET KEEPER,Kate Morton,1
RAISING STEAM,Terry Pratchett,1
WALKING ON WATER,Richard Paul Evans,1
WYOMING BOLD,Diana Palmer,1
SWITCHBLADE,Michael Connelly,1
MIDST TOIL AND TRIBULATION,David Weber,1
THE HANGING JUDGE,Michael Ponsor,1
WHAT WE FIND,Ron Carr,1
LEOPARD'S PREY,Christine Feehan,1
DRAGONBANE,Sherrilyn Kenyon,1
CANYONS OF NIGHT,Jayne Castle,1
ARCHANGEL'S LEGION,Nalini Singh,1
OTHERWISE ENGAGED,Amanda Quick,1
COLLATERAL DAMAGE,Stuart Woods,1
THE TRAINING,Tara Sue Me,1
LINCOLN IN THE BARDO,George Saunders,1
NIGHT AND DAY,Iris Johansen,1
HARD LOVE,Meredith Wild,1
THE CHANCE,Karen Kingsbury,1
CRYSTAL GARDENS,Amanda Quick,1
AFTERBURN,Sylvia Day,1
THE PAPER SWAN,Leylah Attar,1
THE BONE LABYRINTH,James Rollins,1
SNUFF,Terry Pratchett,1
RULES OF CIVILITY,Amor Towles,1
BEYOND THE ICE LIMIT,Douglas Preston and Lincoln Child,1
THE SUM OF ALL KISSES,Julia Quinn,1
THE GROWNUP,Gillian Flynn,1
DEAD HEAT,Patricia Briggs,1
STAY WITH ME,J Lynn,1
LOVING,Karen Kingsbury,1
THE GIRLS OF AUGUST,Anne Rivers Siddons,1
HITCHED,Kendall Ryan,1
FALLING FOR THE HIGHLANDER,Lynsay Sands,1
REAPER'S FIRE,Joanna Wylde,1
NAVARRO'S PROMISE,Lora Leigh,1
SILVER BAY,Jojo Moyes,1
BINDING AGREEMENT,Kyra Davis,1
STARTING NOW,Debbie Macomber,1
SNOWFALL ON HAVEN POINT,RaeAnne Thayne,1
BEYOND DESIRE COLLECTION,JS Scott_ M Malone and others,1
HELL'S FOUNDATIONS QUIVER,David Weber,1
CUBA STRAITS,Randy Wayne White,1
THE CAIRO AFFAIR,Olen Steinhauer,1
THE WHITE PRINCESS,Philippa Gregory,1
CRAVING,Helen Hardt,1
RECKLESS LOVE,Kendall Ryan,1
THE ARRANGEMENT 20,H M Ward,1
IN HIS KEEPING,Maya Banks,1
THE SECRETS OF SIR RICHARD KENWORTHY,Julia Quinn,1
FEAR OF FALLING,SL Jennings,1
DOWN AND OUT,Kelley R Martin,1
RUSTY NAILED,Alice Clayton,1
FALLING,Jane Green,1
SMILEY,Laurann Dohner,1
TEMPTING FATE,Jane Green,1
DO YOU WANT TO START A SCANDAL,Tessa Dare,1
RAPTURE,JR Ward,1
THIRTY-THREE AND A HALF SHENANIGANS,Denise Grover Swank,1
STAND DOWN,J A Jance,1
UPSIDE DOWN,Fern Michaels,1
SHARDS OF HOPE,Nalini Singh,1
THE WOMAN WHO WALKED IN SUNSHINE,Alexander McCall Smith,1
GABRIEL'S REDEMPTION,Sylvain Reynard,1
I ALMOST FORGOT ABOUT YOU,Terry McMillan,1
THE RELUCTANT VAMPIRE,Lynsay Sands,1
THE ROAD TO GRACE,Richard Paul Evans,1
TIME FOR LOVE,Marie Force,1
UNEXPECTED FATE,Harper Sloan,1
SOMETHING BEAUTIFUL,Jamie McGuire,1
LAROSE,Louise Erdrich,1
ALL YOU NEED IS LOVE,Marie Force,1
ROME,Jay Crownover,1
NAUGHTY & NICE,J S Scott and others,1
BADLANDS,C J Box,1
PREY,Linda Howard,1
THIS SIDE OF THE GRAVE,Jeaniene Frost,1
SEDUCED,Melody Anne,1
INTO THE WHIRLWIND,Kat Martin,1
THE CAPTURE OF THE EARL OF GLENCRAE,Stephanie Laurens,1
CHASE,James Patterson with Michael Ledwidge,1
FOOL'S ASSASSIN,Robin Hobb,1
TATIANA,Martin Cruz Smith,1
VIRGINS,Diana Gabaldon,1
THE WAY TO A MAN'S HEART,Debbie Macomber,1
BEAUTIFUL OBLIVION,Jamie McGuire,1
DEAD ICE,Laurell K Hamilton,1
INTO THE FURY,Kat Martin,1
THE SILENT GIRLS,Eric Rickstad,1
THE LOST SYMBOL,Dan Brown,1
THE TAMING OF RYDER CAVANAUGH,Stephanie Laurens,1
THE PERFECT WITNESS,Iris Johansen,1
BETRAYED,Lisa Scottoline,1
THE LONG WAY HOME,Louise Penny,1
THE WOLVES OF MIDWINTER,Anne Rice,1
FALLING IN LOVE,Donna Leon,1
EASY LOVE,Kristen Pro,1
ANY MAN OF MINE,Rachel Gibson,1
BACKWARD GLANCE,Ron Carr,1
COMING HOME,Karen Kingsbury,1
AFRAID TO DIE,Lisa Jackson,1
'TIL DEATH DO US PART,Amanda Quick,1
THE DARKEST SEDUCTION,Gena Showalter,1
BLOSSOM STREET BRIDES,Debbie Macomber,1
WHEN ALL THE GIRLS HAVE GONE,Jayne Ann Krentz,1
MARCH,Audrey Carlan,1
THE ESCAPE,Mary Balogh,1
AIN'T SHE SWEET,Marie Force,1
ONLY BELOVED,Mary Balogh,1
THE ROGUE NOT TAKEN,Sarah MacLean,1
EASY MELODY,Kristen Pro,1
RARE AND PRECIOUS THINGS,Raine Miller,1
RAINSHADOW ROAD,Lisa Kleypas,1
AFTERSHOCK,Sylvia Day,1
THE WHOLE TOWN'S TALKING,Fannie Flagg,1
THE PERFECT MATCH,Kristan Higgins,1
THE COUNTERFEIT AGENT,Alex Berenson,1
BEAUTIFUL BOSS,Christina Lauren,1
NIGHT SHIFT,Charlaine Harris,1
FOREIGN AFFAIRS,Stuart Woods,1
ODD INTERLUDE #2,Dean Koontz,1
QUICKSILVER,Amanda Quick,1
A BANQUET OF CONSEQUENCES,Elizabeth George,1
GODDESS OF VENGEANCE,Jackie Collins,1
A WILL AND A WAY,Nora Roberts,1
FEVERSONG,Karen Marie Moning,1
FEAST DAY OF FOOLS,James Lee Burke,1
WHAT THE DEAD KNOW,Laura Lippman,1
HOLIDAYS WITH THE WALKER BROTHERS,Nicole Edwards,1
THE BOURBON KINGS,JR Ward,1
HARD TO RESIST,Shanora Williams,1
THE SKULL THRONE,Peter V Brett,1
TWICE TEMPTED,Jeaniene Frost,1
NO SAFE SECRET,Fern Michaels,1
FOUR IRRESISTIBLE ROGUES,Tanya Anne Cros_ Danelle Harmon_ Lauren Royal and Cynthia Wright,1
HEMY,Victoria Ashley,1
THE DIRT ON NINTH GRAVE,Darynda Jones,1
SHADOWS OF SELF,Brandon Sanderson,1
THE ARRANGEMENT 12,H M Ward,1
THE TROUBLE WITH MISTLETOE,Jill Shalvis,1
ONE NIGHT: UNVEILED,Jodi Ellen Malpas,1
REASONABLE DOUBT: BOOK 2,Whitney G,1
