Title,Author,weeks on bestseller list
I'VE GOT YOU UNDER MY SKIN,Mary Higgins Clark,5
MEAN STREAK,Sandra Brown,5
STING,Sandra Brown,5
SLAMMED,Colleen Hoover,5
AGAINST ALL ENEMIES,Tom Clancy with Peter Telep,5
EXTREME PREY,John Sandford,5
FALLEN TOO FAR,Abbi Glines,5
VINCE FLYNN: ORDER TO KILL,Kyle Mills,5
DADDY'S GONE A HUNTING,Mary Higgins Clark,5
A GREAT RECKONING,Louise Penny,5
DOWN TO YOU,M Leighton,5
X,Sue Grafton,5
THE BOOK OF LIFE,Deborah Harkness,5
THE WITNESS,Sandra Brown,5
PRIVATE L.A.,James Patterson and Mark Sullivan,5
HERE'S TO US,Elin Hilderbrand,5
THEN CAME YOU,Jennifer Weiner,5
THE HEIST,Janet Evanovich and Lee Goldberg,5
THREAT VECTOR,Tom Clancy with Mark Greaney,5
MY NAME IS LUCY BARTON,Elizabeth Strout,5
BLOOD MAGICK,Nora Roberts,5
PRIVATE VEGAS,James Patterson and Maxine Paetro,5
ACT OF WAR,Brad Thor,5
MISTRESS,James Patterson and David Ellis,5
AGENDA 21,Glenn Beck with Harriet Parke,5
I’LL WALK ALONE,Mary Higgins Clark,5
PRIVATE BERLIN,James Patterson and Mark Sullivan,5
WAIT FOR YOU,J Lynn,5
SHADOW SPELL,Nora Roberts,5
RAZOR GIRL,Carl Hiaasen,5
TOM CLANCY: COMMANDER IN CHIEF,Mark Greaney,5
FIND HER,Lisa Gardner,5
TENTH OF DECEMBER,George Saunders,5
LOVE YOU MORE,Lisa Gardner,5
FIRST COMES LOVE,Emily Giffin,5
INNOCENCE,Dean Koontz,5
APPRENTICE IN DEATH,J D Robb,5
LOCKED ON,Tom Clancy with Mark Greaney,5
RED MIST,Patricia Cornwell,5
AS TIME GOES BY,Mary Higgins Clark,5
HIGH HEAT,Lee Child,5
NOT A DRILL,Lee Child,5
A STORM OF SWORDS,George R R Martin,5
THE SEARCH,Nora Roberts,5
THE PANTHER,Nelson DeMille,5
PORTRAIT OF A SPY,Daniel Silva,5
BLIND FAITH,CJ Lyons,5
W IS FOR WASTED,Sue Grafton,5
WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,5
NEVER NEVER,James Patterson and Candice Fox,5
WICKED BUSINESS,Janet Evanovich,5
THE ONE AND ONLY,Emily Giffin,5
FIRST LOVE,James Patterson and Emily Raymond,5
NYPD RED 4,James Patterson and Marshall Karp,5
RADIANT ANGEL,Nelson DeMille,5
BULLSEYE,James Patterson and Michael Ledwidge,5
ALL FALL DOWN,Jennifer Weiner,5
THE INN AT ROSE HARBOR,Debbie Macomber,5
THE EX GAMES,J S Cooper and Helen Cooper,5
LONE WOLF,Jodi Picoult,5
FOREIGN AGENT,Brad Thor,5
NYPD RED,James Patterson and Marshall Karp,5
DEADLINE,John Sandford,5
SHARP OBJECTS,Gillian Flynn,5
THE SHACK,William P Young,5
PRETTY GIRLS,Karin Slaughter,5
THE BURGESS BOYS,Elizabeth Strout,5
THE PERFECT HOPE,Nora Roberts,5
DAMAGED,H M Ward,4
COMETH THE HOUR,Jeffrey Archer,4
ODD APOCALYPSE,Dean Koontz,4
STARS OF FORTUNE,Nora Roberts,4
KILLER,Jonathan Kellerman,4
ELIGIBLE,Curtis Sittenfeld,4
CONQUER YOUR LOVE,JC Reed,4
DEAD OR ALIVE,Tom Clancy with Grant Blackwood,4
PRIVATE PARIS,James Patterson and Mark Sullivan,4
REDWOOD BEND,Ron Carr,4
BROTHERHOOD IN DEATH,J D Robb,4
ALERT,James Patterson and Michael Ledwidge,4
SUSPECT,Robert Crais,4
THE SWEETEST THING,Barbara Freethy,4
DEADLOCKED,Charlaine Harris,4
STORM FRONT,John Sandford,4
UNTIL PROVEN GUILTY,J A Jance,4
RUSH,Maya Banks,4
STAY CLOSE,Harlan Coben,4
A MEMORY OF LIGHT,Robert Jordan and Brandon Sanderson,4
MARRYING DAISY BELLAMY,Susan Wiggs,4
ESCAPE CLAUSE,John Sandford,4
PRIVATE LONDON,James Patterson and Mark Pearson,4
MILE 81,Stephen King,4
A TURN IN THE ROAD,Debbie Macomber,4
THE FALLEN ANGEL,Daniel Silva,4
TOYS,James Patterson and Neil McMahon,4
THE EDGE OF NEVER,JA Redmerski,4
POWER PLAY,Danielle Steel,4
ONE GOOD DOG,Susan Wilson,4
THE EX GAMES 2,JS Cooper and Helen Cooper,4
A KILLING TIDE,P J Alderman,4
FEBRUARY,Audrey Carlan,4
FEAR NOTHING,Lisa Gardner,4
THE WEEKENDERS,Mary Kay Andrews,4
TREACHERY IN DEATH,J D Robb,4
FALL OF GIANTS,Ken Follett,4
ONE NIGHT STAND,J S Cooper and Helen Cooper,4
STEPBROTHER DEAREST,Penelope Ward,4
1105 YAKIMA STREET,Debbie Macomber,4
THE JEFFERSON KEY,Steve Berry,4
BEHIND CLOSED DOORS,B A Paris,4
CAN YOU KEEP A SECRET?,Sophie Kinsella,4
CROSS FIRE,James Patterson,4
CIRCLING THE SUN,Paula McLain,4
HOME FRONT,Kristin Hannah,4
SNATCHED,Karin Slaughter,4
SOMEWHERE SAFE WITH SOMEBODY GOOD,Jan Karon,4
TOM CLANCY TRUE FAITH AND ALLEGIANCE,Mark Greaney,4
SWEET TOMORROWS,Debbie Macomber,4
MICRO,Michael Crichton and Richard Preston,4
THE WIDOW,Fiona Barton,4
GONE,James Patterson and Michael Ledwidge,4
TOM CLANCY FULL FORCE AND EFFECT,Mark Greaney,4
LOW PRESSURE,Sandra Brown,4
THE GAMES,James Patterson and Mark Sullivan,4
SMALL WARS,Lee Child,4
THREE SISTERS,Susan Mallery,4
BLUE,Danielle Steel,4
PRIVATE DOWN UNDER,James Patterson and Michael White,4
WRONG BED_ RIGHT GUY,Katee Robert,4
FRICTION,Sandra Brown,4
FATES AND FURIES,Lauren Groff,4
ALONE,Lisa Gardner,4
THE BONE BED,Patricia Cornwell,4
DEAD EVER AFTER,Charlaine Harris,4
SECOND SON,Lee Child,4
REAL,Katy Evans,4
THE SECRET OF ELLA AND MICHA,Jessica Sorensen,4
1Q84,Haruki Murakami,4
FALLING INTO YOU,Jasinda Wilder,4
AT THE WATER'S EDGE,Sara Gruen,4
NEW YORK TO DALLAS,J D Robb,4
CAREER OF EVIL,Robert Galbraith,4
LIVE WIRE,Harlan Coben,4
VICTIMS,Jonathan Kellerman,4
ONE WITH YOU,Sylvia Day,4
EVERY FIFTEEN MINUTES,Lisa Scottoline,4
WINTER'S TALE,Mark Helprin,4
FULL BLACK,Brad Thor,4
SOMEONE TO LOVE,Addison Moore,4
THE JUNGLE,Clive Cussler with Jack Du Brul,4
CONCEALED IN DEATH,J D Robb,4
THE BONE TREE,Greg Iles,4
LIFE AFTER LIFE,Kate Atkinson,4
THE WANDERER,Ron Carr,4
THE STORM,Clive Cussler and Graham Brown,4
CROSS KILL,James Patterson,4
THE SIGNATURE OF ALL THINGS,Elizabeth Gilbert,3
THE VALLEY OF AMAZEMENT,Amy Tan,3
THE QUEST,Nelson DeMille,3
BOSSMAN,Vi Keeland,3
THE TRESPASSER,Tana French,3
BONNIE,Iris Johansen,3
